brand,spinpotential,stringname,stringlink,materialcode
Alien,4.5,Black Diamond 16,http://www.tennis-warehouse.com/descpage-ABD16.html,P
Alpha,3.1,Gut 2000 16,http://www.tennis-warehouse.com/descpage-AG200016.html,N
Ashaway,4.6,Liberty 16,http://www.tennis-warehouse.com/descpage-ASHLIB16.html,N
Ashaway,4.6,Synthetic Gut 16,http://www.tennis-warehouse.com/descpage-ASH16.html,N
Ashaway,4.4,MonoGut ZX 16,http://www.tennis-warehouse.com/descpage-ZYEXMONO16.html,N+
Ashaway,3.9,MonoGut 17,http://www.tennis-warehouse.com/descpage-MONOGUT17.html,P
Ashaway,3.5,MonoGut 16L,http://www.tennis-warehouse.com/descpage-MONOGUT16.html,P
Ashaway,3.3,Dynamite WB 16,http://www.tennis-warehouse.com/descpage-ADYNAWB.html,N+
Ashaway,3,Dynamite 17,http://www.tennis-warehouse.com/descpage-ADYNA.html,N+
Ashaway,2.6,Dynamite Soft 17,http://www.tennis-warehouse.com/descpage-D17SOFT.html,N+
Babolat,6.4,Origin 17,http://www.tennis-warehouse.com/descpage-BORIG17.html,N
Babolat,5.2,Pro Hurricane Tour 17,http://www.tennis-warehouse.com/descpage-BH17T.html,P
Babolat,5.1,Pro Hurricane Tour 16,http://www.tennis-warehouse.com/descpage-BH16T.html,P
Babolat,4.7,Ballistic Polymono 16,http://www.tennis-warehouse.com/descpage-SP16.html,P
Babolat,4.7,Hurricane Feel 16,http://www.tennis-warehouse.com/descpage-BHF16.html,P
Babolat,4.6,RPM Blast 17/1.25,http://www.tennis-warehouse.com/descpage-BRPMB17.html,P
Babolat,4.6,RPM Dual 16,http://www.tennis-warehouse.com/descpage-RPMDUAL17.html,P
Babolat,4.5,RPM Blast 16,http://www.tennis-warehouse.com/descpage-BRPMB16.html,P
Babolat,4.4,Hurricane Feel 17,http://www.tennis-warehouse.com/descpage-BHF17.html,P
Babolat,4.3,Conquest 16,http://www.tennis-warehouse.com/descpage-BC16.html,N
Babolat,4.1,SG SpiralTek 16,http://www.tennis-warehouse.com/descpage-BST16.html,N
Babolat,3.9,RPM Team 16 Black,http://www.tennis-warehouse.com/descpage-BRPMT16.html,P
Babolat,3.8,Super Fine Play 16,http://www.tennis-warehouse.com/descpage-SFP16.html,N
Babolat,3.8,Xcel Power 16,http://www.tennis-warehouse.com/descpage-BXCELP16.html,N
Babolat,3.6,Xcel Power 17,http://www.tennis-warehouse.com/descpage-BXCELP17.html,N
Babolat,3.3,Pro Hurricane 18,http://www.tennis-warehouse.com/descpage-BH18.html,P
Babolat,3.1,Addiction 16,http://www.tennis-warehouse.com/descpage-BADD16.html,N
Babolat,3.1,FiberTour 16,http://www.tennis-warehouse.com/descpage-FA16.html,N
Babolat,3.1,Pro Hurricane 17,http://www.tennis-warehouse.com/descpage-BH17.html,P
Babolat,3,Xcel 16,http://www.tennis-warehouse.com/descpage-NBXCEL16.html,N
Babolat,2.7,Attraction 16,http://www.tennis-warehouse.com/descpage-BATT16.html,N+
Babolat,2.7,VS Natural ThermoGut 16 Touch,http://www.tennis-warehouse.com/descpage-BNG16.html,G
Babolat,2.6,Addiction 17,http://www.tennis-warehouse.com/descpage-BADD17.html,N
Boris Becker,5.1,Bomber 16,http://www.tennis-warehouse.com/descpage-BBB16.html,P
Diadem,8.6,Soltice Power 17 (1.20),http://www.tennis-warehouse.com/descpage-DSP17.html,P
Diadem,8.1,Pro 16L (1.25),http://www.tennis-warehouse.com/descpage-DSPRO16L.html,P
Diadem,8.1,Soltice Power 16 (1.30),http://www.tennis-warehouse.com/descpage-DSP16.html,P
Double AR,7.7,Diablo (1.31),http://www.tennis-warehouse.com/descpage-DARD31.html,P
Double AR,7.4,Diablo (1.24),http://www.tennis-warehouse.com/descpage-DARD24.html,P
Double AR,7.3,WTS 25 (1.25),http://www.tennis-warehouse.com/descpage-DARWTS25.html,P
Double AR,7.2,Twice Dragon(1.30),http://www.tennis-warehouse.com/descpage-DARTDR.html,P
Double AR,5.8,666 (1.30),http://www.tennis-warehouse.com/descpage-DAR666.html,N
Double AR,5.7,Twice Shark (1.25),http://www.tennis-warehouse.com/descpage-DARTSH.html,P
Double AR,5.3,Raptor 1.27,http://www.tennis-warehouse.com/descpage-DARR27.html,P
Dunlop,5.4,Black Widow 17,http://www.tennis-warehouse.com/descpage-DBW17.html,P
Dunlop,5.2,Black Widow 16,http://www.tennis-warehouse.com/descpage-DBW16.html,P
Dunlop,4.8,Explosive 16,http://www.tennis-warehouse.com/descpage-DXP16.html,P
